"ABQ","United States of America","New Mexico","Albuquerque"
"ABR","United States of America","South Dakota","Aberdeen"
"ACA","Mexico","","Acapulco"
"ACY","United States of America","New Jersey","Atlantic City"
"ADE","Canada","Quebec","Adele"
"ADQ","United States of America","Alaska","Kodiak"
"ADS","United States of America","Texas","Addison"
"ADZ","Colombia","","San Andres"
"AGH","United States of America","California","Agoura Hills"
"AHN","United States of America","Georgia","Athens"
"AJU","Brazil","","ARACAJU"
"ALB","United States of America","New York","Albany"
"ALG","Chile","","Algarrobo"
"ALS","United States of America","Colorado","Alamosa"
"ALX","United States of America","Virginia","Alexandria"
"AMA","United States of America","Texas","Amarillo"
"AML","United States of America","Florida","Amelia Island"
"ANA","United States of America","California","Anaheim"
"ANC","United States of America","Alaska","Anchorage"
"ANF","Chile","","Antofagasta"
"ANG","United States of America","California","Garden Grove"
"ANN","United States of America","Maryland","Annapolis"
"ANS","Saint Martin (French part)","","Annapolis"
"ANT","United States of America","Arizona","Anthem"
"ANU","Antigua and Barbuda","","Anthem"
"APF","United States of America","Florida","Naples"
"AQA","Brazil","","ARARAQUARA"
"AQP","Peru","","Arequipa"
"ARB","United States of America","Michigan","Ann Arbor"
"ARC","United States of America","California","Arcadia"
"ARE","Costa Rica","","ARENAL"
"ARL","United States of America","Virginia","Arlington"
"ARU","Brazil","","ARACATUBA"
"ARX","Brazil","","ARAXA"
"ASE","United States of America","Colorado","Aspen"
"ASU","Paraguay","","Asuncion"
"ATI","Brazil","","Atibaia"
"ATL","United States of America","Georgia","Atlanta"
"ATS","United States of America","California","Atascadero"
"AUA","Aruba","","Atascadero"
"AUE","United States of America","Maine","Auburn"
"AUG","United States of America","Maine","Augusta"
"AUL","United States of America","Hawaii","Aulani"
"AUS","United States of America","Texas","Austin"
"AVE","United States of America","Florida","Miami"
"AVL","United States of America","North Carolina","Asheville"
"AVN","United States of America","Colorado","Avon"
"AXA","Anguilla","","Avon"
"AZS","Dominican Republic","","Samana"
"BAH","Dominican Republic","","Barahona"
"BAL","United States of America","Florida","Bal Harbour"
"BAQ","Colombia","","Barranquilla"
"BAR","United States of America","California","Barstow"
"BBN","United States of America","Texas","Big Bend National Park"
"BCC","Dominican Republic","","Boca Chica"
"BCN","United States of America","Utah","Bryce Canyon"
"BDA","Bermuda","","Bryce Canyon"
"BDF","United States of America","Maine","Biddeford"
"BEA","United States of America","Utah","Beaver"
"BEL","Brazil","","Belem"
"BEN","United States of America","Oregon","Bend"
"BEV","United States of America","California","Beverly Hills"
"BFL","United States of America","California","Bakersfield"
"BGA","Colombia","","Bucaramanga"
"BGI","Barbados","","Bucaramanga"
"BGR","United States of America","Maine","Bangor"
"BHA","United States of America","Alabama","Birmingham"
"BHB","United States of America","Maine","Bar Harbor"
"BHI","United States of America","Florida","Bay Harbor Islands"
"BHM","Bahamas","","Baha Mar"
"BIG","United States of America","California","Big Bear Lake"
"BIH","United States of America","California","Bishop"
"BIL","United States of America","","Billings"
"BIM","Bahamas","","Bimini"
"BIS","United States of America","North Dakota","Bismarck"
"BIX","United States of America","Mississippi","Biloxi"
"BKF","United States of America","Colorado","Aurora"
"BKG","United States of America","Missouri","Branson"
"BKL","United States of America","New York","Brooklyn"
"BLC","United States of America","Massachusetts","Billerica"
"BLF","United States of America","Utah","Bluff"
"BLH","United States of America","California","Blythe"
"BLM","United States of America","California","Belmont"
"BLN","United States of America","Utah","Blanding"
"BLO","Saint Martin (French part)","","Blanding"
"BLT","United States of America","Maine","Belfast"
"BNA","United States of America","Tennessee","Nashville"
"BNG","United States of America","California","Banning"
"BNR","Bonaire, Sint Eustatius and Saba","","Banning"
"BOC","United States of America","Florida","Boca Raton"
"BOG","Colombia","","Bogota"
"BOI","United States of America","Idaho","Boise"
"BON","United States of America","Florida","Bonita Springs"
"BOO","United States of America","Maine","Boothbay"
"BOS","United States of America","Massachusetts","Boston"
"BPK","United States of America","California","Buena Park"
"BQI","United States of America","Minnesota","Bloomington"
"BRB","Brazil","","Barreirinhas"
"BRC","Argentina","","BARILOCHE"
"BRG","United States of America","Colorado","Brighton"
"BRH","United States of America","Utah","Brian Head"
"BRN","United States of America","California","Brentwood"
"BRO","United States of America","Texas","South Padre Island"
"BRP","Canada","Ontario","Brampton"
"BRU","Brazil","","Barueri"
"BRW","United States of America","New Hampshire","Bretton Woods"
"BSB","Brazil","","Brasilia"
"BTH","United States of America","Maryland","Bethesda"
"BTM","United States of America","Montana","Butte"
"BTR","United States of America","Louisiana","Baton Rouge"
"BTV","United States of America","Vermont","Burlington"
"BUE","Argentina","","Buenos Aires"
"BUF","United States of America","New York","Buffalo"
"BUL","United States of America","Utah","Bullfrog"
"BUP","Canada","Quebec","Beaupre"
"BUR","United States of America","California","Burbank"
"BVU","United States of America","Washington","Bellevue"
"BWI","United States of America","Maryland","Baltimore"
"BXN","United States of America","New York","Bronx"
"BZC","Brazil","","Buzios"
"BZE","Belize","","Buzios"
"BZN","United States of America","Montana","Bozeman"
"BZV","United States of America","Missouri","Branson West"
"CAB","Dominican Republic","","Cabarete"
"CAC","Brazil","","Cascavel"
"CAE","United States of America","South Carolina","Columbia"
"CAH","United States of America","","CARMEL"
"CAM","United States of America","California","Cambria"
"CAP","United States of America","Florida","Captiva Island"
"CAR","Venezuela (Bolivarian Republic of)","","CARACAS"
"CAW","Brazil","","Campos"
"CBB","Bolivia (Plurinational State of)","","Campos"
"CBJ","Canada","British Columbia","Jesmond"
"CCD","United States of America","Utah","Cedar City"
"CCG","United States of America","Florida","Coconut Grove"
"CCP","Chile","","Concepcion"
"CCS","Venezuela (Bolivarian Republic of)","","CARACAS AIRPORT MAIQUETIA"
"CDA","United States of America","Idaho","Coeur D Alene"
"CDC","United States of America","Arizona","Canyon De Chelly"
"CDJ","Brazil","","Campos do Jordao"
"CEZ","United States of America","Colorado","Cortez"
"CGB","United States of America","Florida","Coral Gables"
"CHA","United States of America","Tennessee","Chattanooga"
"CHD","United States of America","Arizona","Chandler"
"CHI","United States of America","Illinois","Chicago"
"CHM","United States of America","Massachusetts","Chatham"
"CHS","United States of America","South Carolina","Charleston"
"CHV","United States of America","","Charleston"
"CID","United States of America","Iowa","Cedar Rapids"
"CIW","Saint Vincent and the Grenadines","","Cedar Rapids"
"CLD","United States of America","California","Carlsbad"
"CLE","United States of America","Ohio","Cleveland"
"CLL","United States of America","Georgia","College Park"
"CLM","United States of America","Washington","Port Angeles"
"CLO","Colombia","","Cali"
"CLP","United States of America","Maryland","College Park"
"CLR","United States of America","Florida","Clearwater"
"CLS","United States of America","California","Santa Clara"
"CLT","United States of America","North Carolina","Charlotte"
"CMD","United States of America","California","Corte Madera"
"CMH","United States of America","Ohio","Columbus"
"CMP","Argentina","","Campana"
"CNF","Brazil","","Belo Horizonte"
"CNJ","Canada","Ontario","Fort Erie"
"CNO","United States of America","California","Chino Hills"
"CNQ","Argentina","","Corrientes"
"CNT","United States of America","Maryland","Clinton"
"COC","United States of America","Florida","Cocoa Beach"
"COD","United States of America","Wyoming","Cody"
"CON","Brazil","","CONCEICAO DA BARRA"
"COR","Argentina","","Cordoba"
"COS","United States of America","Colorado","Colorado Springs"
"CPR","United States of America","Wyoming","Casper"
"CRF","United States of America","Arizona","Carefree"
"CRN","United States of America","New York","Corning"
"CRP","United States of America","Texas","Corpus Christi"
"CRS","United States of America","California","Crescent City"
"CSN","United States of America","Nevada","Carson City"
"CST","United States of America","New Hampshire","New Castle"
"CTC","Argentina","","Catamarca"
"CTF","United States of America","Missouri","Chesterfield"
"CTG","Colombia","","Cartagena de Indias"
"CUE","Ecuador","","Cartagena de Indias"
"CUI","Brazil","","Cuiaba"
"CUN","Mexico","","Cancun"
"CUR","Curaçao","","Cancun"
"CUZ","Peru","","Cusco"
"CVG","United States of America","Ohio","Cincinnati"
"CWB","Brazil","","Curitiba"
"CYP","United States of America","Arizona","Canyon Point"
"CYS","United States of America","Wyoming","Cheyenne"
"CZA","Mexico","","Chichen Itza"
"CZM","Mexico","","Cozumel"
"DAB","United States of America","","Cozumel"
"DAN","United States of America","Massachusetts","Danvers"
"DAV","United States of America","California","Davis"
"DAW","Sint Maarten (Dutch part)","","Davis"
"DBQ","United States of America","Iowa","Dubuque"
"DCA","United States of America","","Washington"
"DCI","United States of America","California","Daly City"
"DEA","United States of America","Michigan","Dearborn"
"DED","United States of America","South Dakota","Deadwood"
"DEN","United States of America","Colorado","Denver"
"DEW","United States of America","Delaware","Dewey Beach"
"DFB","United States of America","Florida","Deerfield Beach"
"DFW","United States of America","Texas","Dallas"
"DIX","United States of America","California","Dixon"
"DLH","United States of America","Minnesota","Duluth"
"DLS","United States of America","Oregon","The Dalles"
"DLT","United States of America","Colorado","Delta"
"DMT","United States of America","Massachusetts","North Dartmouth"
"DNB","United States of America","California","Dinuba"
"DOM","Dominica","","Dinuba"
"DOR","Puerto Rico","","Dorado"
"DPT","United States of America","California","Dana Point"
"DRB","United States of America","Florida","Delray Beach"
"DRO","United States of America","Colorado","Durango"
"DRT","Canada","Nova Scotia","Dartmouth"
"DSM","United States of America","Iowa","Des Moines"
"DTH","United States of America","California","Death Valley"
"DTW","United States of America","Michigan","Detroit"
"DUK","United States of America","Florida","Duck Key"
"DVN","United States of America","Florida","Davenport"
"EAG","United States of America","Minnesota","Eagan"
"EBR","United States of America","New Jersey","East Brunswick"
"EDG","United States of America","Massachusetts","Edgartown"
"EGE","United States of America","Colorado","Vail"
"EIS","Virgin Islands (British)","","Tortola"
"EKO","United States of America","Nevada","Elko"
"ELK","United States of America","Illinois","Elk Grove Village"
"ELL","United States of America","Maine","Ellsworth"
"ELM","United States of America","New York","Elmira"
"ELP","United States of America","Texas","El Paso"
"ELS","United States of America","California","EL Segundo"
"EMV","United States of America","Colorado","Emerald Valley"
"ESS","United States of America","Pennsylvania","Essington"
"EST","United States of America","Colorado","Estes Park"
"ETR","Costa Rica","","Esterillos"
"EUE","United States of America","California","Eureka"
"EUG","United States of America","Oregon","Eugene"
"EWR","United States of America","","Eugene"
"EXM","Bahamas","","Exuma"
"EYL","United States of America","Florida","Key Largo"
"EYP","Colombia","","Yopal"
"EYT","United States of America","Florida","Little Torch Key"
"EYW","United States of America","Florida","Key West"
"EZE","Argentina","","Buenos Aires Aeropuerto"
"FAF","United States of America","California","Fairfield"
"FAI","United States of America","Alaska","Fairbanks"
"FAJ","Puerto Rico","","Fajardo"
"FAL","United States of America","Massachusetts","Falmouth"
"FAR","United States of America","North Dakota","Fargo"
"FAT","United States of America","California","Fresno"
"FAX","United States of America","Virginia","Fairfax"
"FBO","United States of America","Wyoming","Evansville"
"FCA","United States of America","Montana","Kalispell"
"FLC","United States of America","Florida","Florida City"
"FLG","United States of America","Arizona","Flagstaff"
"FLL","United States of America","Florida","Ft. Lauderdale"
"FLM","United States of America","Utah","Fillmore"
"FLN","Brazil","","Florianopolis"
"FOB","United States of America","California","Fort Bragg"
"FOR","Brazil","","Fortaleza"
"FPO","Bahamas","","Freeport"
"FRC","Brazil","","Franca"
"FRE","United States of America","Maine","Freeport"
"FRM","United States of America","California","Fremont"
"FRS","Guatemala","","FLORES"
"FRT","United States of America","New Jersey","Fort Lee"
"FSD","United States of America","South Dakota","Sioux Falls"
"FTE","Argentina","","El Calafate"
"FTN","United States of America","California","Fontana"
"FTS","Canada","Alberta","Fort Saskatchewan"
"GAN","United States of America","","Fort Saskatchewan"
"GAP","Brazil","","Guarapari"
"GBR","United States of America","Arizona","Gilbert"
"GCC","United States of America","Wyoming","Gillette"
"GCM","Cayman Islands","","Gillette"
"GCN","United States of America","Arizona","Grand Canyon North Rim"
"GCS","United States of America","Arizona","Grand Canyon South Rim"
"GCW","United States of America","Arizona","Grand Canyon West"
"GDL","Mexico","","Guadalajara"
"GDN","United States of America","New York","Garden City"
"GDT","Turks and Caicos Islands","","Garden City"
"GIG","Brazil","","Rio De Janeiro"
"GIL","United States of America","New Hampshire","Gilford"
"GJT","United States of America","Colorado","Grand Junction"
"GLN","United States of America","Arizona","Glendale"
"GND","Grenada","","Glendale"
"GOY","Brazil","","CAMPOS DO GOYTACAZES"
"GPS","Ecuador","","Baltra Island"
"GPV","United States of America","Texas","Grapevine"
"GRB","United States of America","Wisconsin","Green Bay"
"GRC","Saint Martin (French part)","","Green Bay"
"GRH","United States of America","Texas","Graham"
"GRK","United States of America","Texas","Killeen"
"GRN","United States of America","Georgia","Greensboro"
"GRR","United States of America","Michigan","Grand Rapids"
"GRU","Brazil","","Sao Paulo"
"GRW","United States of America","Connecticut","Greenwich"
"GTF","United States of America","Montana","Great Falls"
"GTY","United States of America","Pennsylvania","Gettysburg"
"GUA","Guatemala","","Guatemala City"
"GUP","United States of America","New Mexico","Gallup"
"GV9","United States of America","South Carolina","Greenville"
"GYE","Ecuador","","GUAYAQUIL"
"GYN","Brazil","","Goiania"
"HAR","United States of America","Pennsylvania","Harrisburg"
"HBI","Bahamas","","Harbour Island"
"HEL","United States of America","Montana","Helena"
"HEN","United States of America","Nevada","Henderson"
"HER","United States of America","California","Hermosa Beach"
"HGT","United States of America","Michigan","Houghton"
"HHH","United States of America","South Carolina","Hilton Head Island"
"HIE","United States of America","New Hampshire","Whitefiled"
"HIH","United States of America","California","Highland"
"HII","United States of America","Arizona","Lake Havasu"
"HLB","Mexico","","Holbox Island"
"HLD","United States of America","","Holbox Island"
"HLI","United States of America","Missouri","Hollister"
"HLY","United States of America","Florida","Hollywood"
"HMB","United States of America","California","Half Moon Bay"
"HNL","United States of America","Hawaii","Honolulu"
"HOB","United States of America","New Jersey","Hoboken"
"HOH","United States of America","Florida","in"
"HOL","United States of America","Arizona","Holbrook"
"HOU","United States of America","Texas","Houston"
"HSY","United States of America","Pennsylvania","Hershey"
"HTS","Canada","Ontario","Huntsville"
"HUB","United States of America","California","Huntington Beach"
"HUF","United States of America","Indiana","Terre Haute"
"HWD","United States of America","California","Hollywood"
"HYA","United States of America","Massachusetts","Hyannis"
"HYD","United States of America","New York","Hyde Park"
"IAD","United States of America","Virginia","Herndon"
"IAG","United States of America","New York","Niagara Falls"
"IAH","United States of America","Texas","Humble"
"IBE","Colombia","","Ibague"
"IDA","United States of America","Idaho","Idaho Falls"
"IDW","United States of America","California","Indian Wells"
"IER","United States of America","Louisiana","Natchitoches"
"IFP","United States of America","","Bullhead"
"IGH","United States of America","Minnesota","Inver Grove Heights"
"IGR","Argentina","","Iguazu"
"IGU","Brazil","","Foz Do Iguacu"
"ILH","Brazil","","Ilhabela"
"IND","United States of America","Indiana","Indianapolis"
"INT","United States of America","South Dakota","Interior"
"IQQ","Chile","","Iquique"
"IRI","United States of America","California","Irvine"
"ISJ","Mexico","","Isla Mujeres"
"ISL","United States of America","Florida","Islamorada"
"ITA","Brazil","","Itaipava"
"ITU","Brazil","","Itupeva"
"JAC","United States of America","Wyoming","Jackson Hole"
"JCK","United States of America","Florida","Jacksonville"
"JCO","Costa Rica","","Jaco Beach"
"JCY","United States of America","New Jersey","Jersey City"
"JEF","United States of America","Indiana","Jeffersonville"
"JEK","United States of America","Georgia","Jekyll Island"
"JEN","United States of America","California","Jenner"
