0,"ABQ","United States of America New Mexico Albuquerque","1848","United States of America New Mexico Albuquerque"
0,"ABR","United States of America South Dakota Aberdeen","26719","United States of America South Dakota Aberdeen"
0,"ACA","Mexico  Acapulco","1252","Mexico  Acapulco"
0,"ACY","United States of America New Jersey Atlantic City","4261","United States of America New Jersey Atlantic City"
4,"ADE","Canada Quebec Adele","6387","Canada Quebec Gaspe"
4,"ADE","Canada Quebec Adele","20356","Canada Quebec Laval"
4,"ADE","Canada Quebec Adele","35596","Canada Quebec Matane"
4,"ADE","Canada Quebec Adele","35618","Canada Quebec Perce"
4,"ADE","Canada Quebec Adele","44941","Canada Quebec Alma"
4,"ADE","Canada Quebec Adele","45362","Canada Quebec Price"
4,"ADE","Canada Quebec Adele","45368","Canada Quebec Racine"
4,"ADE","Canada Quebec Adele","45488","Canada Quebec Sorel"
3,"ADE","Canada Quebec Adele","66338","Canada Quebec Padoue"
3,"ADE","Canada Quebec Adele","66407","Canada Quebec Labelle"
4,"ADE","Canada Quebec Adele","66515","Canada Quebec Angers"
4,"ADE","Canada Quebec Adele","66516","Canada Quebec Amqui"
4,"ADE","Canada Quebec Adele","66521","Canada Quebec Amos"
4,"ADE","Canada Quebec Adele","78433","Canada Quebec La Dore"
3,"ADQ","United States of America Alaska Kodiak","4279","United States of America Alaska Akiak"
4,"ADQ","United States of America Alaska Kodiak","4281","United States of America Alaska Akhiok"
4,"ADQ","United States of America Alaska Kodiak","4311","United States of America Alaska Alitak"
3,"ADQ","United States of America Alaska Kodiak","4337","United States of America Alaska Aniak"
4,"ADQ","United States of America Alaska Kodiak","4343","United States of America Alaska Anvik"
4,"ADQ","United States of America Alaska Kodiak","5274","United States of America Alaska Kenai"
3,"ADQ","United States of America Alaska Kodiak","5472","United States of America Alaska Kobuk"
4,"ADQ","United States of America Alaska Kodiak","6069","United States of America Alaska Tok"
4,"ADQ","United States of America Alaska Kodiak","6189","United States of America Alaska Umiat"
3,"ADQ","United States of America Alaska Kodiak","6321","United States of America Alaska Noatak"
0,"ADQ","United States of America Alaska Kodiak","6634","United States of America Alaska Kodiak"
4,"ADS","United States of America Texas Addison","20098","United States of America Texas Denton"
4,"ADS","United States of America Texas Addison","20159","United States of America Texas Grayson"
4,"ADS","United States of America Texas Addison","20730","United States of America Texas Johnson"
0,"ADS","United States of America Texas Addison","26096","United States of America Texas Addison"
4,"ADZ","Colombia  San Andres","62214","Colombia  San Pedro"
3,"AGH","United States of America California Agoura Hills","19830","United States of America California Laguna Hills"
0,"AGH","United States of America California Agoura Hills","42671","United States of America California Agoura Hills"
4,"AHN","United States of America Georgia Athens","6610","United States of America Georgia Albuny"
4,"AHN","United States of America Georgia Athens","20203","United States of America Georgia Henry"
4,"AHN","United States of America Georgia Athens","20273","United States of America Georgia Camden"
4,"AHN","United States of America Georgia Athens","20642","United States of America Georgia Thomas"
4,"AHN","United States of America Georgia Athens","25639","United States of America Georgia Darien"
4,"AHN","United States of America Georgia Athens","25662","United States of America Georgia Albany"
4,"AHN","United States of America Georgia Athens","25727","United States of America Georgia Helen"
0,"AHN","United States of America Georgia Athens","27025","United States of America Georgia Athens"
4,"AJU","Brazil  ARACAJU","5071","Brazil  Carajas"
4,"AJU","Brazil  ARACAJU","6577","Brazil  Arapoti"
4,"AJU","Brazil  ARACAJU","6579","Brazil  Arraias"
4,"AJU","Brazil  ARACAJU","62378","Brazil  Camacari"
4,"ALS","United States of America Colorado Alamosa","20348","United States of America Colorado Lamar"
3,"ALS","United States of America Colorado Alamosa","20703","United States of America Colorado Adams"
3,"ALS","United States of America Colorado Alamosa","20704","United States of America Colorado Adams"
4,"ALS","United States of America Colorado Alamosa","26729","United States of America Colorado Aurora"
0,"ALS","United States of America Colorado Alamosa","29146","United States of America Colorado Alamosa"
0,"ALX","United States of America Virginia Alexandria","25621","United States of America Virginia Alexandria"
0,"AMA","United States of America Texas Amarillo","4312","United States of America Texas Amarillo"
0,"AML","United States of America Florida Amelia Island","19751","United States of America Florida Amelia Island"
0,"ANA","United States of America California Anaheim","3777","United States of America California Anaheim"
0,"ANC","United States of America Alaska Anchorage","752","United States of America Alaska Anchorage"
0,"ANG","United States of America California Garden Grove","25556","United States of America California Garden Grove"
0,"ANN","United States of America Maryland Annapolis","4340","United States of America Maryland Annapolis"
4,"ANU","Antigua and Barbuda  Anthem","4342","Antigua and barbuda  Antigua"
4,"APF","United States of America Florida Naples","20092","United States of America Florida Davie"
4,"APF","United States of America Florida Naples","20142","United States of America Florida Flagler"
4,"APF","United States of America Florida Naples","20373","United States of America Florida Lake"
4,"APF","United States of America Florida Naples","20388","United States of America Florida Lee"
4,"APF","United States of America Florida Naples","20473","United States of America Florida Nassau"
4,"APF","United States of America Florida Naples","22151","United States of America Florida Jasper"
4,"APF","United States of America Florida Naples","25901","United States of America Florida Tavares"
0,"APF","United States of America Florida Naples","27105","United States of America Florida Naples"
0,"ARB","United States of America Michigan Ann Arbor","4379","United States of America Michigan Ann Arbor"
3,"ARC","United States of America California Arcadia","4428","United States of America California Artesia"
4,"ARC","United States of America California Arcadia","6240","United States of America California Visalia"
2,"ARC","United States of America California Arcadia","6622","United States of America California Arcata"
4,"ARC","United States of America California Arcadia","22099","United States of America California Nevada"
0,"ARC","United States of America California Arcadia","26779","United States of America California Arcadia"
4,"ARE","Costa Rica  ARENAL","60645","Costa Rica  Carmen"
4,"ARE","Costa Rica  ARENAL","60663","Costa Rica  Grecia"
3,"ARL","United States of America Virginia Arlington","19818","United States of America Virginia Covington"
3,"ARL","United States of America Virginia Arlington","22214","United States of America Virginia Washington"
0,"ARL","United States of America Virginia Arlington","26452","United States of America Virginia Arlington"
4,"ARU","Brazil  ARACATUBA","7030","Brazil  Itaituba"
3,"ARX","Brazil  ARAXA","4837","Brazil  Barra"
3,"ARX","Brazil  ARAXA","5071","Brazil  Carajas"
4,"ARX","Brazil  ARAXA","6190","Brazil  Una"
4,"ARX","Brazil  ARAXA","6577","Brazil  Arapoti"
3,"ARX","Brazil  ARAXA","6579","Brazil  Arraias"
4,"ARX","Brazil  ARAXA","6705","Brazil  Aripuana"
4,"ARX","Brazil  ARAXA","7077","Brazil  Juina"
3,"ARX","Brazil  ARAXA","7111","Brazil  Juara"
4,"ARX","Brazil  ARAXA","7419","Brazil  Matupa"
4,"ARX","Brazil  ARAXA","59039","Brazil  Iriri"
4,"ARX","Brazil  ARAXA","78488","Brazil  COARI"
4,"ARX","Brazil  ARAXA","78491","Brazil  PARNAIBA"
0,"ASE","United States of America Colorado Aspen","4153","United States of America Colorado Aspen"
4,"ATI","Brazil  Atibaia","6579","Brazil  Arraias"
4,"ATI","Brazil  Atibaia","6705","Brazil  Aripuana"
4,"ATL","United States of America Georgia Atlanta","3280","United States of America Georgia Augusta"
4,"ATL","United States of America Georgia Atlanta","25662","United States of America Georgia Albany"
4,"ATL","United States of America Georgia Atlanta","26023","United States of America Georgia Augusta"
4,"ATL","United States of America Georgia Atlanta","26970","United States of America Georgia Sylvania"
4,"ATL","United States of America Georgia Atlanta","27025","United States of America Georgia Athens"
0,"ATL","United States of America Georgia Atlanta","27072","United States of America Georgia Atlanta"
0,"ATS","United States of America California Atascadero","29069","United States of America California Atascadero"
0,"AUE","United States of America Maine Auburn","26392","United States of America Maine Auburn"
4,"AUG","United States of America Maine Augusta","26392","United States of America Maine Auburn"
0,"AUG","United States of America Maine Augusta","27083","United States of America Maine Augusta"
4,"AUL","United States of America Hawaii Aulani","1863","United States of America Hawaii Kahului"
4,"AUL","United States of America Hawaii Aulani","3789","United States of America Hawaii Maui"
3,"AUL","United States of America Hawaii Aulani","3791","United States of America Hawaii Kauai"
4,"AUL","United States of America Hawaii Aulani","3811","United States of America Hawaii Hawaii"
